iter	Passed	Remaining
0	21	4250
1	47	4662
2	60	3983
3	84	4159
4	98	3830
5	111	3608
6	134	3716
7	142	3419
8	156	3322
9	169	3215
10	194	3336
11	208	3269
12	233	3351
13	256	3406
14	291	3592
15	322	3706
16	349	3760
17	364	3680
