iter	Logloss
0	0.6560821447
1	0.6432499115
2	0.6263238355
3	0.5652028493
4	0.5406497307
5	0.5017590251
6	0.4869519674
7	0.4869510498
8	0.4753389926
9	0.4715495255
10	0.4498262626
11	0.4498070816
12	0.4383823381
13	0.4203421065
14	0.4164317142
15	0.3942127698
16	0.3755687803
17	0.3654137963
